Date,XOM_Close,XOM_Volume,Crude_Close,Crude_Volume,XLE
10/27/2000,43.78125,7943000,32.74,68531,31.125
10/30/2000,44.71875,10710000,32.81,54388,31.65625
10/31/2000,44.59375,10070000,32.7,63007,31.875
11/1/2000,46.03125,14385000,33.25,71542,32.90625
11/2/2000,44.09375,14968600,32.54,66821,31.75
11/3/2000,43.75,10272200,32.71,54514,31.625
11/6/2000,44.34375,9351000,32.86,63791,31.75
11/7/2000,44.5,8632600,33.4,58379,32
11/8/2000,45.34375,10074000,33.24,62043,32.3125
11/9/2000,44.9375,10646400,33.92,64155,31.96875
11/10/2000,44.78125,7998000,34.02,63519,32.0625
11/13/2000,44.96875,9167400,34.47,66342,31.8125
11/14/2000,44.9375,8370600,34.87,78811,32
11/15/2000,45.1875,8934800,35.58,80892,32.625
11/16/2000,45.34375,8971400,35.12,51772,32.75
11/17/2000,45.15625,9948000,35.45,51772,32.484379
11/20/2000,45.6875,7809200,35.22,68250,32.328121
11/21/2000,46.5625,12768000,35.16,54869,33.0625
11/22/2000,47.125,11543400,35.4,45768,32.53125
11/24/2000,47.21875,5131800,35.4,45768,33
11/27/2000,46.5625,9067200,35.38,50390,32.734379
11/28/2000,46.53125,10078200,34.22,70027,32.703121
11/29/2000,44.46875,16306000,34.63,82486,31.265619
11/30/2000,44,14645600,33.82,79900,30.203119
12/1/2000,44.40625,12051800,32.02,96057,30.875
12/4/2000,45.34375,8971400,31.22,92267,31.40625
12/5/2000,44.1875,11625600,29.53,103335,30.75
12/6/2000,43.125,17449000,29.85,96057,30.5
12/7/2000,44,12825200,29.35,39650,31
12/8/2000,44.25,10086000,28.44,80715,30.984381
12/11/2000,42.875,14654000,29.5,77299,31.078119
12/12/2000,43.28125,11527800,29.68,60269,31.4375
12/13/2000,43.84375,11973200,28.74,71405,31.5
12/14/2000,42.75,14218400,27.99,70754,30.53125
12/15/2000,42.0625,26030000,28.87,53224,30.796881
12/18/2000,43.1875,12784200,29.76,50760,31.75
12/19/2000,43.59375,12678600,29.33,45504,32.296879
12/20/2000,42.59375,11915200,25.77,64487,31.34375
12/21/2000,42.375,12695400,25.98,52292,31.578119
12/22/2000,43.40625,8543200,26.18,41154,32
12/26/2000,44.28125,5580600,26.64,24449,33.34375
